Organization Name,CID,Column1,Program,Region,Company Website,Address,Address2,Address3,City,State,Zip
"0HAM WHAM8 SOLAR, LLC",C010997,"100 California St. Suite 650, San Francisco, CA 94111",FPA (Market Based Rate) Public Utilities,Western,clearwayenergygroup.com,100 California St.,Suite 650,,San Francisco,CA,94111
"2014 ESA Project Company, LLC",C004796,"560 Davis Street, Suite 250, San Francisco, CA 94111",FPA (Market Based Rate) Public Utilities,Western,https://generatecapital.com/,"560 Davis Street, Suite 250",,,San Francisco,CA,94111
"2015 ESA Project Company, LLC",C004858,"560 Davis Street Suite 250, San Francisco, CA 94111",FPA (Market Based Rate) Public Utilities,Western,https://generatecapital.com/,560 Davis Street,Suite 250,,San Francisco,CA,94111
"2016 ESA Project Company, LLC",C005451,"30 Ivan Allen Jr. Blvd., N.W., Atlanta, GA 30308",FPA (Market Based Rate) Public Utilities,Western,www.southernco.com,"30 Ivan Allen Jr. Blvd., N.W.",,,Atlanta,GA,30308
"2018 ESA Project Company, LLC",C010320,"200 Clarendon Street 55th Floor, Boston, MA 02116",FPA (Market Based Rate) Public Utilities,Western,www.arclight.com,200 Clarendon Street,55th Floor,,Boston,MA,02116
20SD 8me LLC,C012129,"2180 South 1300 East, Suite 500, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,"2180 South 1300 East, Suite 500",,,Salt Lake City,UT,84106
25 Mile Creek Windfarm LLC,C011530,"100 Brickstone Sq., Ste 300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,https://www.enelgreenpower.com/,"100 Brickstone Sq., Ste 300",,,Andover,MA,01810
"276FED WHAM8 SOLAR, LLC",C010998,"100 California St. Suite 650, San Francisco, CA 94111",FPA (Market Based Rate) Public Utilities,Western,clearwayenergygroup.com,100 California St.,Suite 650,,San Francisco,CA,94111
"299F2M WHAM8 SOLAR, LLC",C011269,"100 California St. Suite 650, San Francisco, CA 94111",FPA (Market Based Rate) Public Utilities,Western,clearwayenergygroup.com,100 California St.,Suite 650,,San Francisco,CA,94111
3 Phases Renewables Inc.,C005050,"1228 E. Grand Ave., El Segundo, CA 90245",FPA (Market Based Rate) Public Utilities,Western,3phasesrenewables.com,1228 E. Grand Ave.,,,El Segundo,CA,90245
325MK 8ME LLC,C010839,"8800 N. Gainey Center Drive, Suite 250, Scottsdale, AZ 85258",FPA (Market Based Rate) Public Utilities,Western,https://arevonenergy.com/,"8800 N. Gainey Center Drive, Suite 250",,,Scottsdale,AZ,85258
360Recycling,C005096,"375 Rockbridge RD Bldg 172 Ste 107, Lilburn, GA 30047",FPA (Market Based Rate) Public Utilities,Western,www.360recyclinginc.com,375 Rockbridge RD,Bldg 172 Ste 107,,Lilburn,GA,30047
3C Solar LLC,C002270,"650 First Street Suite 104, Lake Oswego, OR 97034",FPA (Market Based Rate) Public Utilities,Western,www.nwphotonenergy.com,650 First Street,Suite 104,,Lake Oswego,OR,97034
"3Degrees Group, Inc.",C002110,"235 Montgomery St Suite 320, San Francisco, CA 94104",FPA (Market Based Rate) Public Utilities,Western,www.3Degrees.com,235 Montgomery St,Suite 320,,San Francisco,CA,94104
"3PR Trading, Inc.",C010562,"1228 E. Grand Avenue, El Segundo, CA 90245",FPA (Market Based Rate) Public Utilities,Western,https://3phasesrenewables.com/,1228 E. Grand Avenue,,,El Segundo,CA,90245
"41MB 8me, LLC",C010482,"1633 Broadway, New York, NY 10019",FPA (Market Based Rate) Public Utilities,Western,https://us.allianzgi.com,1633 Broadway,,,New York,NY,10019
527 Energy,C010376,"5 Tanager Drive, Ringoes, NJ 08551",FPA (Market Based Rate) Public Utilities,Western,www.527energy.com,5 Tanager Drive,,,Ringoes,NJ,08551
5380 Frontier Energy Co. LLC,C005389,"151 107th Avenue Suite 6, Treasure Island, FL 33706",FPA (Market Based Rate) Public Utilities,Western,www.hodgsonruss.com,151 107th Avenue,Suite 6,,Treasure Island,FL,33706
54KR 8ME LLC,C008789,"111 Woodmere Road, Suite 250, Folsom, CA 95630",FPA (Market Based Rate) Public Utilities,Western,www.8minutenergy.com,"111 Woodmere Road, Suite 250",,,Folsom,CA,95630
62SK 8ME LLC,C005138,"The D. E. Shaw Group 1166 Avenue of the Americas, New York, NY 10036",FPA (Market Based Rate) Public Utilities,Western,deshaw.com,The D. E. Shaw Group,1166 Avenue of the Americas,,New York,NY,10036
63SU 8ME LLC,C005176,"The D. E. Shaw Group 1166 Avenue of the Americas, Ninth Floor, New York, NY 10036",FPA (Market Based Rate) Public Utilities,Western,www.deshaw.com,The D. E. Shaw Group,"1166 Avenue of the Americas, Ninth Floor",,New York,NY,10036
64KT 8me LLC,C008986,"c/o Capital Dynamics, Inc. 10 East 53rd Street, 17th Floor, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.capdyn.com,"c/o Capital Dynamics, Inc.","10 East 53rd Street, 17th Floor",,New York,NY,10022
64NB 8me LLC,C010757,"c/o 8minute Solar Energy LLC 250 Sutter Street, Suite 600, San Francisco, CA 94108",FPA (Market Based Rate) Public Utilities,Western,https://www.8minute.com,c/o 8minute Solar Energy LLC,"250 Sutter Street, Suite 600",,San Francisco,CA,94108
65HK 8me LLC,C004808,"2180 South 1300 East Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.spower.com,2180 South 1300 East,Suite 600,,Salt Lake City,UT,84106
67RK 8me LLC,C004807,"2180 South 1300 East Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.spower.com,2180 South 1300 East,Suite 600,,Salt Lake City,UT,84106
68SF 8me LLC,C012127,"8800 N. Gainey Center Drive, Suite 250, Scottsdale, AZ 85258",FPA (Market Based Rate) Public Utilities,Western,www.arevonenergy.com,"8800 N. Gainey Center Drive, Suite 250",,,Scottsdale,AZ,85258
69SV 8me LLC,C012312,"8800 N. Gainey Center Drive, Suite 250, Scottsdale, AZ 85258",FPA (Market Based Rate) Public Utilities,Western,https://arevonenergy.com/,"8800 N. Gainey Center Drive, Suite 250",,,Scottsdale,AZ,85258
87RL 8me LLC,C004809,"2180 South 1300 East Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.spower.com,2180 South 1300 East,Suite 600,,Salt Lake City,UT,84106
"91MC 8me, LLC",C010759,"c/o 8minute Solar Energy LLC 250 Sutter Street, Suite 600, San Francisco, CA 94108",FPA (Market Based Rate) Public Utilities,Western,https://www.8minute.com,c/o 8minute Solar Energy LLC,"250 Sutter Street, Suite 600",,San Francisco,CA,94108
923 Corporation,C010401,"1201 County Rd. 257 PO Box 249, FIVE POINTS, AL 36855",FPA (Market Based Rate) Public Utilities,Western,www.923corporation.com,1201 County Rd. 257 PO Box 249,,,FIVE POINTS,AL,36855
"AB Lessee, LLC",C010779,"Albemarle Beach Solar, LLC c/o SunEnergy1, LLC 192 Raceway Drive, Mooresville, NC 28117",FPA (Market Based Rate) Public Utilities,Western,www.sunenergy1.com,"Albemarle Beach Solar, LLC c/o SunEnergy1, LLC",192 Raceway Drive,,Mooresville,NC,28117
"ABC Energy, LLC",C003666,"200 E Post Rd ste 200, White Plains, NY 10601",FPA (Market Based Rate) Public Utilities,Western,www.ABCEnergy.com,200 E Post Rd,ste 200,,White Plains,NY,10601
